subject,run,onset,duration,genre,track,start,end
sub-002,01,315,15,'rock',32,4.48,19.48
sub-002,01,330,15,'country',85,1.07,16.07
sub-002,01,345,15,'blues',17,6.44,21.44
sub-002,01,360,15,'disco',75,11.03,26.03
sub-002,01,375,15,'metal',39,13.11,28.11
sub-002,01,390,15,'reggae',33,12.55,27.55
sub-002,01,405,15,'classical',45,8.35,23.35
sub-002,01,420,15,'hiphop',95,8.59,23.59
sub-002,01,435,15,'jazz',44,9.49,24.49
sub-002,01,450,15,'pop',32,10.7,25.7
sub-002,01,465,15,'rock',32,4.48,19.48
sub-002,01,480,15,'country',85,1.07,16.07
sub-002,01,495,15,'blues',17,6.44,21.44
sub-002,01,510,15,'disco',75,11.03,26.03
sub-002,01,525,15,'metal',39,13.11,28.11
sub-002,01,540,15,'reggae',33,12.55,27.55
sub-002,01,555,15,'classical',45,8.35,23.35
sub-002,01,570,15,'hiphop',95,8.59,23.59
sub-002,01,585,15,'jazz',44,9.49,24.49
sub-002,01,600,15,'pop',32,10.7,25.7
sub-002,02,0,15,'metal',63,4.97,19.97
sub-002,02,15,15,'reggae',1,11.37,26.37
sub-002,02,30,15,'rock',74,1.95,16.95
sub-002,02,45,15,'hiphop',19,7.91,22.91
sub-002,02,60,15,'pop',96,7.39,22.39
sub-002,02,75,15,'country',12,11.43,26.43
sub-002,02,90,15,'jazz',40,14.3,29.3
sub-002,02,105,15,'blues',40,10.62,25.62
sub-002,02,120,15,'classical',71,6.38,21.38
sub-002,02,135,15,'disco',71,0.81,15.81
sub-002,02,150,15,'metal',63,4.97,19.97
sub-002,02,165,15,'reggae',1,11.37,26.37
sub-002,02,180,15,'rock',74,1.95,16.95
sub-002,02,195,15,'hiphop',19,7.91,22.91
sub-002,02,210,15,'pop',96,7.39,22.39
sub-002,02,225,15,'country',12,11.43,26.43
sub-002,02,240,15,'jazz',40,14.3,29.3
sub-002,02,255,15,'blues',40,10.62,25.62
sub-002,02,270,15,'classical',71,6.38,21.38
sub-002,02,285,15,'disco',71,0.81,15.81
sub-002,02,300,15,'metal',63,4.97,19.97
sub-002,02,315,15,'reggae',1,11.37,26.37
sub-002,02,330,15,'rock',74,1.95,16.95
sub-002,02,345,15,'hiphop',19,7.91,22.91
sub-002,02,360,15,'pop',96,7.39,22.39
sub-002,02,375,15,'country',12,11.43,26.43
sub-002,02,390,15,'jazz',40,14.3,29.3
sub-002,02,405,15,'blues',40,10.62,25.62
sub-002,02,420,15,'classical',71,6.38,21.38
sub-002,02,435,15,'disco',71,0.81,15.81
sub-002,02,450,15,'metal',63,4.97,19.97
sub-002,02,465,15,'reggae',1,11.37,26.37
sub-002,02,480,15,'rock',74,1.95,16.95
sub-002,02,495,15,'hiphop',19,7.91,22.91
sub-002,02,510,15,'pop',96,7.39,22.39
sub-002,02,525,15,'country',12,11.43,26.43
sub-002,02,540,15,'jazz',40,14.3,29.3
sub-002,02,555,15,'blues',40,10.62,25.62
sub-002,02,570,15,'classical',71,6.38,21.38
sub-002,02,585,15,'disco',71,0.81,15.81
sub-002,02,600,15,'metal',63,4.97,19.97
sub-002,03,0,15,'jazz',14,14.78,29.78
sub-002,03,15,15,'hiphop',49,14.12,29.12
sub-002,03,30,15,'blues',73,13.81,28.81
sub-002,03,45,15,'rock',66,13.71,28.71
sub-002,03,60,15,'country',7,5.58,20.58
sub-002,03,75,15,'pop',66,12.45,27.45
sub-002,03,90,15,'disco',0,2.55,17.55
sub-002,03,105,15,'classical',8,12.75,27.75
sub-002,03,120,15,'metal',64,3.21,18.21
sub-002,03,135,15,'reggae',70,3.29,18.29
sub-002,03,150,15,'jazz',14,14.78,29.78
sub-002,03,165,15,'hiphop',49,14.12,29.12
sub-002,03,180,15,'blues',73,13.81,28.81
sub-002,03,195,15,'rock',66,13.71,28.71
sub-002,03,210,15,'country',7,5.58,20.58
sub-002,03,225,15,'pop',66,12.45,27.45
sub-002,03,240,15,'disco',0,2.55,17.55
sub-002,03,255,15,'classical',8,12.75,27.75
sub-002,03,270,15,'metal',64,3.21,18.21
sub-002,03,285,15,'reggae',70,3.29,18.29
sub-002,03,300,15,'jazz',14,14.78,29.78
sub-002,03,315,15,'hiphop',49,14.12,29.12
sub-002,03,330,15,'blues',73,13.81,28.81
sub-002,03,345,15,'rock',66,13.71,28.71
sub-002,03,360,15,'country',7,5.58,20.58
sub-002,03,375,15,'pop',66,12.45,27.45
sub-002,03,390,15,'disco',0,2.55,17.55
sub-002,03,405,15,'classical',8,12.75,27.75
sub-002,03,420,15,'metal',64,3.21,18.21
sub-002,03,435,15,'reggae',70,3.29,18.29
sub-002,03,450,15,'jazz',14,14.78,29.78
sub-002,03,465,15,'hiphop',49,14.12,29.12
sub-002,03,480,15,'blues',73,13.81,28.81
sub-002,03,495,15,'rock',66,13.71,28.71
sub-002,03,510,15,'country',7,5.58,20.58
sub-002,03,525,15,'pop',66,12.45,27.45
sub-002,03,540,15,'disco',0,2.55,17.55
sub-002,03,555,15,'classical',8,12.75,27.75
sub-002,03,570,15,'metal',64,3.21,18.21
sub-002,03,585,15,'reggae',70,3.29,18.29
sub-002,03,600,15,'jazz',14,14.78,29.78
sub-002,04,0,15,'jazz',45,8.13,23.13
sub-002,04,15,15,'metal',51,8.15,23.15
sub-002,04,30,15,'country',78,14.53,29.53
sub-002,04,45,15,'rock',27,12.61,27.61
sub-002,04,60,15,'reggae',85,12.68,27.68
sub-002,04,75,15,'blues',69,8.92,23.92
sub-002,04,90,15,'hiphop',14,9.53,24.53
sub-002,04,105,15,'disco',11,9.02,24.02
sub-002,04,120,15,'classical',92,5.96,20.96
sub-002,04,135,15,'pop',68,1.93,16.93
sub-002,04,150,15,'jazz',45,8.13,23.13
sub-002,04,165,15,'metal',51,8.15,23.15
sub-002,04,180,15,'country',78,14.53,29.53
sub-002,04,195,15,'rock',27,12.61,27.61
sub-002,04,210,15,'reggae',85,12.68,27.68
sub-002,04,225,15,'blues',69,8.92,23.92
sub-002,04,240,15,'hiphop',14,9.53,24.53
sub-002,04,255,15,'disco',11,9.02,24.02
sub-002,04,270,15,'classical',92,5.96,20.96
sub-002,04,285,15,'pop',68,1.93,16.93
sub-002,04,300,15,'jazz',45,8.13,23.13
sub-002,04,315,15,'metal',51,8.15,23.15
sub-002,04,330,15,'country',78,14.53,29.53
sub-002,04,345,15,'rock',27,12.61,27.61
sub-002,04,360,15,'reggae',85,12.68,27.68
sub-002,04,375,15,'blues',69,8.92,23.92
sub-002,04,390,15,'hiphop',14,9.53,24.53
sub-002,04,405,15,'disco',11,9.02,24.02
sub-002,04,420,15,'classical',92,5.96,20.96
sub-002,04,435,15,'pop',68,1.93,16.93
sub-002,04,450,15,'jazz',45,8.13,23.13
sub-002,04,465,15,'metal',51,8.15,23.15
sub-002,04,480,15,'country',78,14.53,29.53
sub-002,04,495,15,'rock',27,12.61,27.61
sub-002,04,510,15,'reggae',85,12.68,27.68
sub-002,04,525,15,'blues',69,8.92,23.92
sub-002,04,540,15,'hiphop',14,9.53,24.53
sub-002,04,555,15,'disco',11,9.02,24.02
